,username,status
@,mobtownstudios,RT @MonoChz: Baltimore economics needs to stop being about tourists and start being about residents. #createbmore
@,TheGoodPlan,"What about a #CreateBmore youtube channel - 90 second pitches, and ways to connect if you want to help #Baltimore #Change"
@,TheGoodPlan,RT @jeedgan: RT: @MICA_MASDWhat if companies operated out of high schools in the summer? #createbmore #bmoresummerschool
@,jeedgan,RT: @MICA_MASDWhat if companies operated out of high schools in the summer? #createbmore #bmoresummerschool
@,bethechange41,Met 3+ social design M.A. students from MICA at #createbmore - excited to see what kind of work they'll be doing! #education
@,bethechange41,A special tnx to the students at #createbmore today. It was v encouraging 2 c such talented and articulate HS students!
@,bethechange41,"@TheGoodPlan: ""Our tongues have been gifted. What will you say?"" #createbmore http://t.co/FLQkIl2y"
@,PureAmazi,@bethechange41 It was nice to meet you yesterday at #createbmore. Let's stay in touch!
@,NRGtheory,RT @rsteggy: Loved the Crowdsourcing session. We're keeping the conversation go with #bmoreaction #createbmore
@,NRGtheory,RT @save4use: #bmoreaction is the hash to follow for discussion about Baltimore crowd sourcing and funding #createbmore
@,NRGtheory,RT @rsteggy: The best part of lunch @createbaltimore is that EVERY table is a cool kids table. #createbmore
@,NRGtheory,RT @KKTrumpbour: #createbmore welcome new twitter member @venroyjuly with a follow. Venroy is trying to introduce boxing education progr ...
@,NRGtheory,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,AndrewHazlett,.@RodneyCBurris and a big thanks to you @SenBillFerg for being at #CreateBmore to share insights and to listen.
@,RodneyCBurris,Absolutely. I was impressed with that! @NoOrdnryCherry @laurenbot3k #CreateBmore
@,RodneyCBurris,#CreateBmore Sounds good. I would love to help with Marketng &amp; Parking @prairieskygal @KKTrumpbour @mobtownblues @suitsandsoot @prattlibrary
@,RodneyCBurris,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,ecogordo,RT @DaveLandymore: #CreateBmore #Bmore narrative session: How to get away from The Wire stigma? Even The Wire isn't The Wire anymore! Ge ...
@,nikkijamesmedia,"RT @suitsandsoot: Multiple calls for asset mapping today. This stuff has to be out there already, right? #createbmore"
@,nikkijamesmedia,"I ended yesterday with new inspirations, new ideas, new friends, free tees, free Bohs. Seriously one of my fave days here. #createbmore"
@,nikkijamesmedia,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,RedLineNow,"Awesome, many thanks for this! MT @jonathanjulian:  ""Reinvent Transit: planning, news, bike share"" #createbmore  http://t.co/BHBxp3Ji"
@,bethechange41,#createbmore takeaway (I heard many times): being a good neighbor and dev real relationships is key.
@,BaltimoreBStore,"#CreateBMore after-after-party at Harlan = Fun.  Brian Sullivan, thanks for the ride home. @Amanda9985, did you finish your pear?"
@,bethechange41,RT @scottburkholder: Thank you for your amazing support @danieldubya I am glad #EvolveCommunications was a sponsor of #createbmore
@,maryhassound,RT @NoOrdnryCherry: I found interactive #publicart by @maryhassound at @CreateBaltimore! #createbmore http://t.co/Pl2pl52F
@,jeedgan,"@TheGoodPlan @CreateBaltimore Need to develop an action plan, any ideas on community partners. #createbmore #bmoresummerschool"
@,Robert_Simmons3,RT @LesterSpence: 313+410=? RT @rsteggy: I'm imported from the D too! RT @KKTrumpbour: #createbmore I'm a U Detroit Mercy grad. Love to  ...
@,scottburkholder,I felt the same way. Still bringing people @MikeMakes @MikeMakes @ElizabethEadie @davetroy @AndrewHazlett #createbmore
@,BaltimoreBStore,"#CreateBMore was fantastic all around. Thanks Scott @ScottBurkholder, and Lindsey @TheGoodPlan, Dave @DaveTroy et al. http://t.co/F2k4LbLS"
@,scottburkholder,Thank you for your amazing support @danieldubya I am glad #EvolveCommunications was a sponsor of #createbmore
@,LesterSpence,@NoOrdnryCherry @ElizabethEadie would love to connect with you both. Important work to do. To wit: http://t.co/YX9gwPej #createbmore
@,studioKAFI,"@LanaKole yes! I love  your work too! You inspired me, thank you for all of the info. I'd love to work in a different medium. #createbmore"
@,studioKAFI,@brittolsenecker @erauh I know you guys are making good things happen #createbmore
@,scottburkholder,Amazing! You want to know what the cool kids in Baltimore are up to. Check out @lrenhrda list from #createbmore  http://t.co/gtSyROlK
@,LesterSpence,313+410=? RT @rsteggy: I'm imported from the D too! RT @KKTrumpbour: #createbmore I'm a U Detroit Mercy grad. Love to meet Detroit exports.
@,scottburkholder,These are ideas we need. Your feedback makes us stronger! @prairieskygal @KKTrumpbour @mobtownblues @suitsandsoot @prattlibrary #createbmore
